player_id,name,season,salary,team,position,draft_pick,draft_year
brownja02,Jaylen Brown,2017-18,4956480,Boston Celtics,Small Forward and Shooting Guard,3rd overall,2016
brownst02,Sterling Brown,2017-18,815615,Milwaukee Bucks,Shooting Guard,46th overall,2017
brussni01,Nicolas Brussino,2017-18,905249,Atlanta Hawks,Small Forward and Shooting Guard,,
bryanth01,Thomas Bryant,2017-18,815615,Los Angeles Lakers,Center,42nd overall,2017
bullore01,Reggie Bullock,2017-18,2500000,Detroit Pistons,Shooting Guard and Small Forward,25th overall,2013
burketr01,Trey Burke,2017-18,784160,New York Knicks,Point Guard,9th overall,2013
burksal01,Alec Burks,2017-18,10845506,Utah Jazz,Shooting Guard,12th overall,2011
butleca01,Caron Butler,2017-18,517220,Sacramento Kings,Small Forward and Shooting Guard,10th overall,2002
butleji01,Jimmy Butler,2017-18,19301070,Minnesota Timberwolves,Shooting Guard and Small Forward,30th overall,2011
buyckdw01,Dwight Buycks,2017-18,748160,Detroit Pistons,Point Guard,,
cabocbr01,Bruno Caboclo,2017-18,2451225,Sacramento Kings,Small Forward,20th overall,2014
caldejo01,Jose Calderon,2017-18,1471382,Cleveland Cavaliers,Shooting Guard and Point Guard,,
caldwke01,Kentavious Caldwell-Pope,2017-18,17745894,Los Angeles Lakers,Shooting Guard,8th overall,2013
canaais01,Isaiah Canaan,2017-18,997547,Phoenix Suns,Shooting Guard and Point Guard,34th overall,2013
canaais01,Isaiah Canaan,2017-18,200000,Chicago Bulls,Shooting Guard and Point Guard,34th overall,2013
canaais01,Isaiah Canaan,2017-18,53465,Houston Rockets,Shooting Guard and Point Guard,34th overall,2013
capelca01,Clint Capela,2017-18,2334520,Houston Rockets,Center,25th overall,2014
carrode01,DeMarre Carroll,2017-18,14800000,Brooklyn Nets,Small Forward and Power Forward,27th overall,2009
cartevi01,Vince Carter,2017-18,8000000,Sacramento Kings,Small Forward and Shooting Guard,5th overall,1998
cartemi01,Michael Carter-Williams,2017-18,2700000,Charlotte Hornets,Point Guard,11th overall,2013
casspom01,Omri Casspi,2017-18,1471382,Golden State Warriors,Small Forward and Power Forward,23rd overall,2009
caulewi01,Willie Cauley-Stein,2017-18,3704160,Sacramento Kings,Center,6th overall,2015
cavanty01,Tyler Cavanaugh,2017-18,729919,Atlanta Hawks,Power Forward,,
chalmma01,Mario Chalmers,2017-18,2106407,Memphis Grizzlies,Point Guard,34th overall,2008
chandty01,Tyson Chandler,2017-18,13000000,Phoenix Suns,Center and Power Forward,2nd overall,2001
chandwi01,Wilson Chandler,2017-18,12016854,Denver Nuggets,Shooting Guard and Small Forward and Power Forward,23rd overall,2007
chrisma01,Marquese Chriss,2017-18,3073800,Phoenix Suns,Power Forward,8th overall,2016
chrisra01,Rakeem Christmas,2017-18,172552,Indiana Pacers,Power Forward,36th overall,2015
clarkia01,Ian Clark,2017-18,1471382,New Orleans Pelicans,Shooting Guard,,
clarkjo01,Jordan Clarkson,2017-18,11562500,Cleveland Cavaliers,Shooting Guard and Point Guard,46th overall,2014
collijo01,John Collins,2017-18,1936920,Atlanta Hawks,Power Forward,19th overall,2017
colliza01,Zach Collins,2017-18,3057240,Portland Trail Blazers,Center,10th overall,2017
collida01,Darren Collison,2017-18,10000000,Indiana Pacers,Point Guard,21st overall,2009
collini01,Nick Collison,2017-18,2328652,Oklahoma City Thunder,Power Forward and Center,12th overall,2003
conlemi01,Mike Conley,2017-18,28530608,Memphis Grizzlies,Point Guard,4th overall,2007
connapa01,Pat Connaughton,2017-18,1471382,Portland Trail Blazers,Shooting Guard,41st overall,2015
couside01,DeMarcus Cousins,2017-18,18063850,New Orleans Pelicans,Center,5th overall,2010
covinro01,Robert Covington,2017-18,16698103,Philadelphia 76ers,Small Forward,,
crabbal01,Allen Crabbe,2017-18,19332500,Brooklyn Nets,Shooting Guard,31st overall,2013
crawfja01,Jamal Crawford,2017-18,10942762,Atlanta Hawks,Shooting Guard and Point Guard,8th overall,2000
crawfja01,Jamal Crawford,2017-18,4328000,Minnesota Timberwolves,Shooting Guard and Point Guard,8th overall,2000
crawfjo02,Jordan Crawford,2017-18,308190,New Orleans Pelicans,Shooting Guard and Point Guard,27th overall,2010
crowdja01,Jae Crowder,2017-18,6796117,Utah Jazz,Small Forward,34th overall,2012
cunnida01,Dante Cunningham,2017-18,2300000,Brooklyn Nets,Power Forward and Small Forward,33rd overall,2009
curryse01,Seth Curry,2017-18,3028410,Dallas Mavericks,Shooting Guard and Point Guard,,
curryst01,Stephen Curry,2017-18,34682550,Golden State Warriors,Point Guard,7th overall,2009
danietr01,Troy Daniels,2017-18,3408520,Phoenix Suns,Shooting Guard,,
davisan02,Anthony Davis,2017-18,23775506,New Orleans Pelicans,Power Forward and Center,1st overall,2012
davisde01,Deyonta Davis,2017-18,1312611,Memphis Grizzlies,Center,31st overall,2016
davised01,Ed Davis,2017-18,6352531,Portland Trail Blazers,Center and Power Forward,13th overall,2010
dedmode01,Dewayne Dedmon,2017-18,6000000,Atlanta Hawks,Center,,
dekkesa01,Sam Dekker,2017-18,1794600,Los Angeles Clippers,Power Forward,18th overall,2015
delanma01,Malcolm Delaney,2017-18,2500000,Atlanta Hawks,Point Guard,,
delfica01,Carlos Delfino,2017-18,650000,Los Angeles Clippers,Shooting Guard and Small Forward,25th overall,2003
dellama01,Matthew Dellavedova,2017-18,9607500,Milwaukee Bucks,Point Guard and Shooting Guard,,
denglu01,Luol Deng,2017-18,17190000,Los Angeles Lakers,Power Forward and Small Forward,7th overall,2004
derozde01,DeMar DeRozan,2017-18,27739975,Toronto Raptors,Shooting Guard,9th overall,2009
diallch01,Cheick Diallo,2017-18,1312611,New Orleans Pelicans,Power Forward,33rd overall,2016
dienggo01,Gorgui Dieng,2017-18,14112360,Minnesota Timberwolves,Center and Power Forward,21st overall,2013
dinwisp01,Spencer Dinwiddie,2017-18,1524305,Brooklyn Nets,Point Guard,38th overall,2014
dorsety01,Tyler Dorsey,2017-18,815615,Atlanta Hawks,Shooting Guard,41st overall,2017
dotsoda01,Damyean Dotson,2017-18,1100000,New York Knicks,Shooting Guard,44th overall,2017
dragigo01,Goran Dragic,2017-18,17000450,Miami Heat,Point Guard and Shooting Guard,45th overall,2008
drewla02,Larry Drew II,2017-18,148318,New Orleans Pelicans,Point Guard,,
drewla02,Larry Drew II,2017-18,74159,Philadelphia 76ers,Point Guard,,
drumman01,Andre Drummond,2017-18,23775506,Detroit Pistons,Center,9th overall,2012
dudleja01,Jared Dudley,2017-18,10000000,Phoenix Suns,Small Forward and Power Forward and Shooting Guard,22nd overall,2007
duncati01,Tim Duncan,2017-18,1881250,San Antonio Spurs,Center and Power Forward,1st overall,1997
dunlemi02,Mike Dunleavy,2017-18,1662500,Atlanta Hawks,Small Forward and Shooting Guard and Power Forward,3rd overall,2002
dunnkr01,Kris Dunn,2017-18,4046760,Chicago Bulls,Point Guard,5th overall,2016
duranke01,Kevin Durant,2017-18,25000000,Golden State Warriors,Power Forward and Small Forward and Shooting Guard,2nd overall,2007
eddieja01,Jarell Eddie,2017-18,100353,Chicago Bulls,Small Forward,,
eddieja01,Jarell Eddie,2017-18,83129,Boston Celtics,Small Forward,,
ellenhe01,Henry Ellenson,2017-18,1780800,Detroit Pistons,Power Forward,18th overall,2016
ellinwa01,Wayne Ellington,2017-18,6270000,Miami Heat,Shooting Guard,28th overall,2009
ellismo01,Monta Ellis,2017-18,2245400,Indiana Pacers,Shooting Guard,40th overall,2005
embiijo01,Joel Embiid,2017-18,6100266,Philadelphia 76ers,Center,3rd overall,2014
ennisja01,James Ennis,2017-18,3028410,Detroit Pistons,Small Forward,50th overall,2013
ennisty01,Tyler Ennis,2017-18,1524305,Los Angeles Lakers,Point Guard,18th overall,2014
evansja01,Jawun Evans,2017-18,815615,Los Angeles Clippers,Point Guard,39th overall,2017
evansje01,Jeremy Evans,2017-18,133129,Atlanta Hawks,Power Forward and Small Forward,55th overall,2010
evansty01,Tyreke Evans,2017-18,3290000,Memphis Grizzlies,Small Forward and Shooting Guard and Point Guard,4th overall,2009
exumda01,Dante Exum,2017-18,4992385,Utah Jazz,Point Guard,5th overall,2014
ezelife01,Festus Ezeli,2017-18,333334,Portland Trail Blazers,Center,30th overall,2012
farieke01,Kenneth Faried,2017-18,12921348,Denver Nuggets,Center and Power Forward,22nd overall,2011
farmajo01,Jordan Farmar,2017-18,510921,Los Angeles Clippers,Point Guard,26th overall,2006
favorde01,Derrick Favors,2017-18,12000000,Utah Jazz,Center and Power Forward,3rd overall,2010
feliccr01,Cristiano Felicio,2017-18,7843500,Chicago Bulls,Center,,
felixca01,Carrick Felix,2017-18,140902,Washington Wizards,Shooting Guard,33rd overall,2013
feltora01,Raymond Felton,2017-18,1471382,Oklahoma City Thunder,Point Guard and Shooting Guard,5th overall,2005
fergute01,Terrance Ferguson,2017-18,1785000,Oklahoma City Thunder,Shooting Guard,21st overall,2017
ferreyo01,Yogi Ferrell,2017-18,1312611,Dallas Mavericks,Shooting Guard and Point Guard,,
finnedo01,Dorian Finney-Smith,2017-18,1312611,Dallas Mavericks,Small Forward and Power Forward,,
forbebr01,Bryn Forbes,2017-18,1312611,San Antonio Spurs,Shooting Guard,,
fournev01,Evan Fournier,2017-18,17000000,Orlando Magic,Small Forward and Shooting Guard,20th overall,2012
foxde01,De'Aaron Fox,2017-18,4609200,Sacramento Kings,Point Guard,5th overall,2017
frankja01,Jamaal Franklin,2017-18,163296,Memphis Grizzlies,Shooting Guard,41st overall,2013
fraziti01,Tim Frazier,2017-18,2000000,Washington Wizards,Point Guard,,
fryech01,Channing Frye,2017-18,7420912,Los Angeles Lakers,Center and Power Forward,8th overall,2005
fultzma01,Markelle Fultz,2017-18,7026240,Philadelphia 76ers,Shooting Guard,1st overall,2017
gallida01,Danilo Gallinari,2017-18,20559599,Los Angeles Clippers,Small Forward and Shooting Guard and Power Forward,6th overall,2008
gallola01,Langston Galloway,2017-18,6666667,Detroit Pistons,Shooting Guard and Point Guard,,
gasolma01,Marc Gasol,2017-18,22642350,Memphis Grizzlies,Center,48th overall,2007
gasolpa01,Pau Gasol,2017-18,16000000,San Antonio Spurs,Center and Power Forward,3rd overall,2001
gayru01,Rudy Gay,2017-18,8406000,San Antonio Spurs,Power Forward and Small Forward,8th overall,2006
gbinimi01,Michael Gbinije,2017-18,500000,Detroit Pistons,Shooting Guard,49th overall,2016
georgpa01,Paul George,2017-18,19508958,Oklahoma City Thunder,Small Forward and Shooting Guard,10th overall,2010
georgma01,Marcus Georges-Hunt,2017-18,1312611,Minnesota Timberwolves,Shooting Guard,,
gibsojo01,Jonathan Gibson,2017-18,44495,Boston Celtics,Point Guard,,
gibsota01,Taj Gibson,2017-18,14000000,Minnesota Timberwolves,Power Forward,26th overall,2009
gilesha01,Harry Giles,2017-18,1859400,Sacramento Kings,Power Forward,20th overall,2017
ginobma01,Manu Ginobili,2017-18,2500000,San Antonio Spurs,Shooting Guard,57th overall,1999
goberru01,Rudy Gobert,2017-18,21974719,Utah Jazz,Center,27th overall,2013
gordoaa01,Aaron Gordon,2017-18,5504420,Orlando Magic,Power Forward and Small Forward,4th overall,2014
gordoer01,Eric Gordon,2017-18,12943020,Houston Rockets,Shooting Guard and Point Guard,7th overall,2008
gortama01,Marcin Gortat,2017-18,12782609,Washington Wizards,Power Forward and Center,57th overall,2005
grahatr01,Treveon Graham,2017-18,1312611,Charlotte Hornets,Shooting Guard,,
grantje01,Jerami Grant,2017-18,1524305,Oklahoma City Thunder,Small Forward and Power Forward,39th overall,2014
grantje02,Jerian Grant,2017-18,1713840,Chicago Bulls,Point Guard,19th overall,2015
grayjo01,Josh Gray,2017-18,101376,Phoenix Suns,Point Guard,,
greenda02,Danny Green,2017-18,10000000,San Antonio Spurs,Shooting Guard,46th overall,2009
greendr01,Draymond Green,2017-18,16400000,Golden State Warriors,Small Forward and Power Forward,35th overall,2012
greenge01,Gerald Green,2017-18,872854,Houston Rockets,Shooting Guard and Small Forward,18th overall,2005
greenja01,JaMychal Green,2017-18,8533333,Memphis Grizzlies,Power Forward,,
greenje02,Jeff Green,2017-18,2116955,Cleveland Cavaliers,Small Forward and Power Forward,5th overall,2007
griffbl01,Blake Griffin,2017-18,29727900,Detroit Pistons,Power Forward,1st overall,2009
hamilju01,Justin Hamilton,2017-18,1000000,Toronto Raptors,Center,45th overall,2012
hammoaj01,A.J. Hammons,2017-18,1312611,Miami Heat,Center,46th overall,2016
hardati02,Tim Hardaway Jr.,2017-18,16500000,New York Knicks,Shooting Guard,24th overall,2013
hardeja01,James Harden,2017-18,28299399,Houston Rockets,Shooting Guard and Point Guard,3rd overall,2009
harklma01,Maurice Harkless,2017-18,10162922,Portland Trail Blazers,Small Forward,15th overall,2012
harremo01,Montrezl Harrell,2017-18,1471382,Los Angeles Clippers,Power Forward and Center,32nd overall,2015
harride01,Devin Harris,2017-18,4402546,Denver Nuggets,Point Guard and Shooting Guard,5th overall,2004
harriga01,Gary Harris,2017-18,2550055,Denver Nuggets,Shooting Guard,19th overall,2014
harrijo01,Joe Harris,2017-18,1524305,Brooklyn Nets,Shooting Guard,33rd overall,2014
harrito02,Tobias Harris,2017-18,16000000,Los Angeles Clippers,Power Forward and Small Forward,19th overall,2011
harriaa01,Aaron Harrison,2017-18,174571,Dallas Mavericks,Shooting Guard,,
harrian01,Andrew Harrison,2017-18,1312611,Memphis Grizzlies,Point Guard,44th overall,2015
harrish01,Shaquille Harrison,2017-18,267160,Phoenix Suns,Point Guard,,
hartjo01,Josh Hart,2017-18,1394520,Los Angeles Lakers,Shooting Guard,30th overall,2017
hasleud01,Udonis Haslem,2017-18,1471382,Miami Heat,Power Forward and Center,,
hawessp01,Spencer Hawes,2017-18,2007059,Milwaukee Bucks,Power Forward and Center,10th overall,2007
hayesni01,Nigel Hayes,2017-18,92160,Toronto Raptors,Small Forward,,
hayesni01,Nigel Hayes,2017-18,55296,Sacramento Kings,Small Forward,,
hayesni01,Nigel Hayes,2017-18,50000,New York Knicks,Small Forward,,
hayesni01,Nigel Hayes,2017-18,46080,Los Angeles Lakers,Small Forward,,
haywago01,Gordon Hayward,2017-18,29727900,Boston Celtics,Power Forward and Small Forward,9th overall,2010
hendege02,Gerald Henderson,2017-18,1000000,Philadelphia 76ers,Shooting Guard,12th overall,2009
hensojo01,John Henson,2017-18,11422536,Milwaukee Bucks,Center and Power Forward,14th overall,2012
hernaju01,Juan Hernangomez,2017-18,2076840,Denver Nuggets,Power Forward,15th overall,2016
hernawi01,Willy Hernangomez,2017-18,1435750,Charlotte Hornets,Center,35th overall,2015
hezonma01,Mario Hezonja,2017-18,4078320,Orlando Magic,Small Forward,5th overall,2015
hieldbu01,Buddy Hield,2017-18,3675480,Sacramento Kings,Shooting Guard,6th overall,2016
hilarne01,Nene,2017-18,3477600,Houston Rockets,Power Forward and Center,7th overall,2002
hillge01,George Hill,2017-18,20000000,Cleveland Cavaliers,Point Guard,26th overall,2008
hillso01,Solomon Hill,2017-18,12236535,New Orleans Pelicans,Small Forward,23rd overall,2013
holidjr01,Jrue Holiday,2017-18,25686667,New Orleans Pelicans,Point Guard and Shooting Guard,17th overall,2009
holidju01,Justin Holiday,2017-18,4615385,Chicago Bulls,Shooting Guard,,
holliro01,Rondae Hollis-Jefferson,2017-18,1471382,Brooklyn Nets,Small Forward,23rd overall,2015
holmeri01,Richaun Holmes,2017-18,1471382,Philadelphia 76ers,Center and Power Forward,37th overall,2015
hoodro01,Rodney Hood,2017-18,2386864,Cleveland Cavaliers,Shooting Guard,23rd overall,2014
hopsosc01,Scotty Hopson,2017-18,74159,Dallas Mavericks,Shooting Guard,,
horfoal01,Al Horford,2017-18,27734405,Boston Celtics,Center,3rd overall,2007
howardw01,Dwight Howard,2017-18,23500000,Charlotte Hornets,Power Forward and Center,1st overall,2004
huestjo01,Josh Huestis,2017-18,1471382,Oklahoma City Thunder,Power Forward,29th overall,2014
ibakase01,Serge Ibaka,2017-18,20061729,Toronto Raptors,Power Forward and Center,24th overall,2008
iguodan01,Andre Iguodala,2017-18,14814815,Golden State Warriors,Small Forward and Shooting Guard,9th overall,2004
ilyaser01,Ersan Ilyasova,2017-18,5434282,Atlanta Hawks,Power Forward,36th overall,2005
ilyaser01,Ersan Ilyasova,2017-18,357454,Philadelphia 76ers,Power Forward,36th overall,2005
inglejo01,Joe Ingles,2017-18,14136364,Utah Jazz,Power Forward and Small Forward,,
ingraan01,Andre Ingram,2017-18,13824,Los Angeles Lakers,Shooting Guard,,
ingrabr01,Brandon Ingram,2017-18,5519400,Los Angeles Lakers,Small Forward,2nd overall,2016
irvinky01,Kyrie Irving,2017-18,18868625,Boston Celtics,Point Guard,1st overall,2011
isaacjo01,Jonathan Isaac,2017-18,4186320,Orlando Magic,Power Forward,6th overall,2017
iwundwe01,Wesley Iwundu,2017-18,1050000,Orlando Magic,Small Forward,33rd overall,2017
jackja01,Jarrett Jack,2017-18,1471382,New York Knicks,Shooting Guard and Point Guard,22nd overall,2005
jacksaa01,Aaron Jackson,2017-18,4608,Houston Rockets,Point Guard,,
jacksfr01,Frank Jackson,2017-18,815615,New Orleans Pelicans,Point Guard,31st overall,2017
jacksjo02,Josh Jackson,2017-18,5090040,Phoenix Suns,Small Forward and Shooting Guard,4th overall,2017
jacksju01,Justin Jackson,2017-18,2365560,Sacramento Kings,Small Forward,15th overall,2017
jacksre01,Reggie Jackson,2017-18,16000000,Detroit Pistons,Point Guard,24th overall,2011
jamesle01,LeBron James,2017-18,33285709,Cleveland Cavaliers,Shooting Guard and Small Forward and Power Forward,1st overall,2003
jeffeal01,Al Jefferson,2017-18,9769821,Indiana Pacers,Power Forward and Center,15th overall,2004
jeffeam01,Amile Jefferson,2017-18,4608,Minnesota Timberwolves,Power Forward,,
jefferi01,Richard Jefferson,2017-18,2500000,Atlanta Hawks,Small Forward,13th overall,2001
jefferi01,Richard Jefferson,2017-18,1454756,Denver Nuggets,Small Forward,13th overall,2001
jennibr01,Brandon Jennings,2017-18,297169,Milwaukee Bucks,Point Guard,10th overall,2009
jerebjo01,Jonas Jerebko,2017-18,4000000,Utah Jazz,Power Forward,39th overall,2009
johnsam01,Amir Johnson,2017-18,11000000,Philadelphia 76ers,Center and Small Forward and Power Forward,56th overall,2005
johnsbr02,Brice Johnson,2017-18,1331160,Memphis Grizzlies,Power Forward,25th overall,2016
johnsch04,Chris Johnson,2017-18,25000,Houston Rockets,Small Forward,,
johnsda04,Dakari Johnson,2017-18,815615,Oklahoma City Thunder,Center,48th overall,2015
johnsja01,James Johnson,2017-18,13954000,Miami Heat,Power Forward and Small Forward,16th overall,2009
johnsjo02,Joe Johnson,2017-18,9505000,Sacramento Kings,Shooting Guard and Small Forward,10th overall,2001
johnsjo02,Joe Johnson,2017-18,473835,Houston Rockets,Shooting Guard and Small Forward,10th overall,2001
johnsom01,Omari Johnson,2017-18,27648,Memphis Grizzlies,Power Forward,,
johnsst04,Stanley Johnson,2017-18,3097800,Detroit Pistons,Small Forward,8th overall,2015
johnsty01,Tyler Johnson,2017-18,5881260,Miami Heat,Shooting Guard and Point Guard,,
johnswe01,Wesley Johnson,2017-18,5881260,Los Angeles Clippers,Shooting Guard and Small Forward,4th overall,2010
jokicni01,Nikola Jokic,2017-18,1471382,Denver Nuggets,Center,41st overall,2014
jonesda03,Damian Jones,2017-18,1312611,Golden State Warriors,Center,30th overall,2016
jonesty01,Tyus Jones,2017-18,1471382,Minnesota Timberwolves,Point Guard,24th overall,2015
jordade01,DeAndre Jordan,2017-18,22642350,Los Angeles Clippers,Center,35th overall,2008
josepco01,Cory Joseph,2017-18,7630000,Indiana Pacers,Point Guard and Shooting Guard,29th overall,2011
kaminfr01,Frank Kaminsky,2017-18,2847600,Charlotte Hornets,Center and Power Forward,9th overall,2015
kanteen01,Enes Kanter,2017-18,20566802,New York Knicks,Center,3rd overall,2011
kennalu01,Luke Kennard,2017-18,2759280,Detroit Pistons,Shooting Guard,12th overall,2017
kiddgmi01,Michael Kidd-Gilchrist,2017-18,13000000,Charlotte Hornets,Small Forward and Power Forward,2nd overall,2012
kilpase01,Sean Kilpatrick,2017-18,2163006,Chicago Bulls,Shooting Guard,,
kilpase01,Sean Kilpatrick,2017-18,1524305,Brooklyn Nets,Shooting Guard,,
kilpase01,Sean Kilpatrick,2017-18,789725,Milwaukee Bucks,Shooting Guard,,
kilpase01,Sean Kilpatrick,2017-18,166258,Los Angeles Clippers,Shooting Guard,,
klebima01,Maxi Kleber,2017-18,815615,Dallas Mavericks,Power Forward,,
knighbr03,Brandon Knight,2017-18,13618750,Phoenix Suns,Point Guard and Shooting Guard,8th overall,2011
korkmfu01,Furkan Korkmaz,2017-18,1465920,Philadelphia 76ers,Shooting Guard,26th overall,2016
korveky01,Kyle Korver,2017-18,7000000,Cleveland Cavaliers,Small Forward and Shooting Guard and Power Forward,51st overall,2003
koufoko01,Kosta Koufos,2017-18,8393000,Sacramento Kings,Center,23rd overall,2008
kuzmaky01,Kyle Kuzma,2017-18,1423560,Los Angeles Lakers,Power Forward,27th overall,2017
